filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,14,20,0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_1.png,81,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_2.png,60,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_3.png,75,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_4.png,16,20,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_5.png,10,20,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_6.png,37,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_7.png,8,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_8.png,10,20,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_9.png,20,20,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_10.png,17,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)"
image_11.png,61,20,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_12.png,83,20,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_13.png,63,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_14.png,89,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_15.png,26,20,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_16.png,61,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_17.png,29,20,0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_18.png,32,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_19.png,87,20,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_20.png,10,20,0,"(3, 1)","(2, 1)",False,"Cell (3,1)."
image_21.png,37,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_22.png,41,20,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_23.png,99,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_24.png,64,20,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_25.png,46,20,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_26.png,2,20,0,"(2, 1)","(1, 2)",False,"Cell (2,1)."
image_27.png,92,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_28.png,91,20,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_29.png,38,20,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_30.png,32,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_31.png,72,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_32.png,75,20,0,"(3, 2)","(2, 1)",False,"Cell (3,2)."
image_33.png,39,20,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_34.png,58,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_35.png,87,20,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_36.png,53,20,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_37.png,78,20,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_38.png,5,20,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_39.png,75,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_40.png,0,20,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_41.png,65,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_42.png,80,20,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_43.png,17,20,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_44.png,55,20,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_45.png,68,20,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
