filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,40,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_1.png,13,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_2.png,2,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_3.png,17,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)"
image_4.png,29,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)"
image_5.png,23,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

I can see one sphere that appears to be lit from below, located in the lower left quadrant of the image (Cell 2,1). This sphere shows a highlight at the bottom rather than at the top like all the other spheres in the image."
image_6.png,9,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_7.png,11,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere lit from below appears to be located in the bottom left quadrant of the image."
image_8.png,14,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)

The sphere lit from below appears to be in the upper right quadrant of the image, specifically in Cell (1,2). This sphere shows lighter shading at the bottom and darker shading at the top, in contrast to all other spheres which show the opposite lighting pattern."
image_9.png,16,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_10.png,43,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

The sphere lit from below appears to be located in the lower right quadrant of the image, with its center falling in Cell (2,2). This sphere is distinguishable from the others as it shows highlighting on its bottom portion rather than the top, creating an inverse lighting effect compared to all other spheres in the image."
image_11.png,23,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_12.png,26,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_13.png,13,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_14.png,7,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)

The sphere lit from below appears to be located in the center-bottom portion of the image, which corresponds to Cell (2,2) in the 2x2 grid."
image_15.png,49,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image."
image_16.png,21,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)"
image_17.png,1,30,0,"(2, 2)","(2, 1)",False,"Cell (2,2)"
image_18.png,26,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_19.png,7,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

Looking at the spheres in the image, I can identify one sphere in the lower left quadrant that appears to be lit from below, while all other spheres show highlights at their top portions indicating lighting from above."
image_20.png,15,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_21.png,21,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)

The sphere lit from below appears to be located in the lower-right portion of the center of the image, which corresponds to Cell (2,2) in the 2x2 grid."
image_22.png,38,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)"
image_23.png,14,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)

The sphere lit from below appears to be located in the lower right quadrant of the center of the image, which corresponds to Cell (2,2). This sphere shows lighter shading at the bottom rather than at the top like all other spheres in the image."
image_24.png,11,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

The sphere lit from below appears to be located in the center-right portion of the image, which corresponds to Cell (2,2) in the 2x2 grid. This sphere shows highlights at the bottom rather than the top, unlike all other spheres in the image which are lit from above."
image_25.png,35,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)

The sphere lit from below appears to be located in the lower right quadrant of the center of the image, which corresponds to Cell (2,2) in the 2x2 grid."
image_26.png,39,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image. While there are multiple spheres in this cell, one sphere in this region clearly shows lighting from below (lighter at the bottom, darker at the top) while all other spheres in the image show lighting from above (lighter at the top, darker at the bottom)."
image_27.png,22,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_28.png,38,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)"
image_29.png,41,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_30.png,43,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)

The sphere lit from below appears to be located in the lower right portion of the center of the image, which corresponds to Cell (2,2). This sphere is distinctive as it shows lighter shading at the bottom rather than at the top like all other spheres in the image."
image_31.png,15,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_32.png,12,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image."
image_33.png,0,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_34.png,5,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)"
image_35.png,12,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_36.png,1,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)"
image_37.png,36,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_38.png,9,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_39.png,21,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

Looking at the image, I can see multiple spheres scattered across the grid, with most appearing to be lit from above (lighter on top, darker on bottom). There appears to be one sphere in the lower left quadrant (Cell 2,1) that shows the opposite lighting pattern - darker on top and lighter on bottom - indicating it is lit from below."
image_40.png,21,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image. While there are multiple spheres in this cell, one sphere in this location clearly shows lighting from below, contrasting with all other spheres which are lit from above."
image_41.png,42,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image. This sphere shows a lighting pattern that is inverted compared to all other spheres in the image, with the highlight appearing at the bottom rather than the top."
image_42.png,4,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_43.png,39,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

The sphere lit from below appears to be located in the lower right quadrant of the image, specifically in Cell (2,2). This sphere shows a highlight at the bottom rather than at the top like all other spheres in the image."
image_44.png,40,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image. This sphere stands out as it has its highlight at the bottom rather than the top like all other spheres in the image."
image_45.png,37,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_46.png,33,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_47.png,2,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_48.png,10,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

The sphere lit from below appears to be in the bottom right quadrant of the image, with its center falling in Cell (2,2). This sphere shows clear lighting from the bottom, creating a highlight at its lower portion, while all other spheres in the image show highlights at their upper portions, indicating top lighting."
image_49.png,31,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image, where its shading shows illumination coming from the bottom rather than the top like all other spheres in the image."
image_50.png,33,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)"
image_51.png,32,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere lit from below appears to be located in the bottom left quadrant of the image. This sphere shows lighter shading at the bottom and darker shading at the top, in contrast to all other spheres which show the opposite lighting pattern."
image_52.png,40,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

The sphere lit from below appears to be located in the lower-right quadrant of the center of the image, which corresponds to Cell (2,2). This sphere is distinctive as it shows light shading at the bottom rather than at the top like all other spheres in the image."
image_53.png,37,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_54.png,44,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_55.png,44,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_56.png,41,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

The sphere lit from below appears to be located in the bottom right quadrant of the image, specifically in Cell (2,2). This sphere stands out as it has its highlight at the bottom rather than at the top like all other spheres in the image."
image_57.png,30,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_58.png,13,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

The sphere lit from below appears to be in the bottom left quadrant of the image. While there are multiple spheres in the image, one sphere in Cell (2,1) clearly shows lighting from below (darker on top, lighter on bottom) while all others show lighting from above (lighter on top, darker on bottom)."
image_59.png,10,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_60.png,18,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_61.png,5,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)

The sphere lit from below appears to be in the top left cell of the grid. This sphere shows lighter shading on its bottom portion, while all other spheres in the image show lighter shading on their top portions, indicating they are lit from above."
image_62.png,10,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image. This sphere shows darker shading on top and lighter shading on the bottom, in contrast to all other spheres which show the opposite lighting pattern."
image_63.png,12,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_64.png,6,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)"
image_65.png,17,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_66.png,37,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)"
image_67.png,28,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

The sphere lit from below appears to be located in the lower left quadrant of the image. While there are multiple spheres in the image, one sphere in Cell (2,1) clearly shows lighting from below, contrasting with all other spheres which are lit from above."
image_68.png,22,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)

The sphere lit from below appears to be located in the upper right portion of the left half of the image, which corresponds to Cell (1,2)."
image_69.png,18,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)"
image_70.png,32,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_71.png,39,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
