filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,3,30,0,"(1, 2)","(2, 1)",False,"Cell (1,2)"
image_1.png,0,30,0,"(1, 2)","(2, 2)",False,"Cell (1,2)

The sphere that appears to be lit from the opposite direction is located in the top right cell of the grid. While most spheres show lighting from one direction, this particular sphere shows a highlight pattern that indicates illumination from the opposite direction."
image_2.png,8,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights on their upper right sides. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side (lower left), indicating it is lit from a different direction than all the other spheres."
image_3.png,10,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in that area. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side, suggesting it is lit from a different direction than all the other spheres."
image_4.png,8,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

The sphere in the lower left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_5.png,2,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)

The sphere in Cell (1,2) appears to be lit from the opposite direction compared to the other spheres in the image. While the other spheres show highlights on their right sides, this particular sphere shows highlighting on its left side."
image_6.png,15,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

Looking at the pattern of spheres, most appear to be lit from the upper right direction, creating highlights in the upper right portion of each sphere. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side (lower left), indicating it is lit from a different direction than all the other spheres."
image_7.png,7,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in that area of each sphere. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side, suggesting it is lit from a different direction than all the other spheres."
image_8.png,17,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

The sphere that appears to be lit from the opposite direction (with highlights on the right side rather than the left) is located in the bottom right quadrant of the grid."
image_9.png,12,30,0,"(2, 2)","(2, 1)",False,"Cell (2,2)

The sphere that appears to be lit from the opposite direction (with highlights and shadows reversed compared to the others) is located in the bottom right quadrant of the circular arrangement."
image_10.png,7,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

The sphere in the lower left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_11.png,10,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)

The sphere in the center-right portion of the circle appears to be lit from the opposite direction compared to all other spheres in the image. While the majority of spheres show highlights on their left sides, this particular sphere shows highlighting on its right side."
image_12.png,4,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)"
image_13.png,3,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)"
image_14.png,9,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

The sphere in the lower left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_15.png,8,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in the upper right portion of each sphere. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to be lit from the opposite direction, with its highlight appearing on the lower left side of the sphere."
image_16.png,3,30,0,"(1, 2)","(2, 1)",False,"Cell (1,2)

The sphere in the top right quadrant appears to be lit from the opposite direction compared to the other spheres in the image. While most spheres show highlights on their left sides, this particular sphere shows highlighting on its right side."
image_17.png,0,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere that appears to be lit from the opposite direction is located in the bottom left cell of the grid. While most spheres show highlights on their right side, this particular sphere shows a highlight on its left side, indicating opposite lighting direction."
image_18.png,6,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

The sphere in cell (2,1) appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_19.png,1,30,0,"(1, 2)","(2, 1)",False,"Cell (1,2)

The sphere in the upper right quadrant appears to be lit from the opposite direction compared to the other sphere in the image, as indicated by its shading pattern being reversed."
image_20.png,16,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the pattern of spheres, most appear to be lit from the upper right direction, creating shadows on their lower left sides. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to be lit from the opposite direction, showing highlights and shadows reversed compared to all other spheres."
image_21.png,6,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere in the lower left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_22.png,10,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

I can see that most spheres appear to be lit from the upper right direction, showing highlights in their upper right portions. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to be lit from the opposite direction, showing its highlight on the lower left portion of the sphere."
image_23.png,16,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

Looking at the image, most spheres appear to be lit from the upper right direction, creating shadows on their lower left sides. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to be lit from the opposite direction, showing highlights and shadows in a pattern reversed from all other spheres."
image_24.png,14,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere in Cell (2,1) appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_25.png,0,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere that appears to be lit from the opposite direction is located in the bottom left cell of the grid. While most spheres show highlights on their right side, this particular sphere shows a highlight on its left side, indicating opposite lighting direction."
image_26.png,7,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

The sphere in the lower left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_27.png,11,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_28.png,5,30,0,"(1, 1)","(2, 2)",False,"Cell (1,1)

The sphere in the top left appears to be lit from a different direction compared to the other spheres in the image. While most spheres show highlights on their right side, suggesting lighting from the right, the sphere in Cell (1,1) appears to have its highlight on the left side, indicating opposite lighting direction."
image_29.png,16,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

I can see that most spheres appear to be lit from the upper left direction, creating shadows on their lower right sides. However, there is one sphere that appears to be lit from the lower right direction, creating a shadow on its upper left side. This sphere is located in Cell (2,2) of the grid."
image_30.png,15,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_31.png,12,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in that area and shadows on the lower left. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have the opposite lighting pattern, with its highlight on the lower left and shadow on the upper right."
image_32.png,16,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in the upper right portion of each sphere. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side (lower left), indicating it is lit from a different direction than all the other spheres."
image_33.png,2,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)

The sphere in the top right cell appears to be lit from the opposite direction compared to the other spheres, as indicated by its shading pattern being reversed (highlight appears on the opposite side) compared to the other spheres in the image."
image_34.png,7,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in the upper right portion of each sphere. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side (lower left), indicating it is lit from a different direction than all the other spheres."
image_35.png,17,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the image, most spheres appear to be lit from the upper right direction, creating highlights in the upper right portion of each sphere. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side (lower left), indicating it is lit from a different direction than all the other spheres."
image_36.png,15,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the pattern of light and shadow on the spheres, most appear to be lit from the upper right direction, creating highlights in that area. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side, suggesting it is lit from a different direction than all the others."
image_37.png,15,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in that area. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side, suggesting it is lit from a different direction than all the other spheres."
image_38.png,4,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere in the lower left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_39.png,7,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in that area. However, the sphere in the lower left quadrant (Cell 2,1) appears to have its highlight on the opposite side, suggesting it is lit from a different direction than the others."
image_40.png,12,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the pattern of shading on the spheres, most appear to be lit from the upper right direction, creating highlights in that area. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side, suggesting it is lit from a different direction than all the others."
image_41.png,17,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

Looking at the pattern of spheres, most appear to be lit from the upper right direction, creating shadows on their lower left sides. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to be lit from the opposite direction, with its highlight on the lower left and shadow on the upper right."
image_42.png,5,30,0,"(1, 2)","(2, 1)",False,"Cell (1,2)

The sphere in the upper right quadrant appears to be lit from the opposite direction compared to all other spheres in the image, with its highlight appearing on the opposite side."
image_43.png,15,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in that area and shadows in the lower left. However, there is one sphere that shows the opposite lighting pattern - with highlights on the lower left and shadows on the upper right. This sphere appears to be located in Cell (2,1), which is the bottom left quadrant of the grid."
image_44.png,12,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

The sphere in the lower left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_45.png,16,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

The sphere that appears to be lit from the opposite direction compared to all others is located in the bottom left cell of the grid."
image_46.png,3,30,0,"(1, 2)","(2, 2)",False,"Cell (1,2)"
image_47.png,3,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)"
image_48.png,15,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

Looking at the pattern of lighting across all spheres, most appear to be lit from the upper right direction, creating highlights in that area. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side, suggesting it is lit from a different direction than all the others."
image_49.png,3,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

The sphere in the bottom left quadrant appears to be lit from the opposite direction compared to the other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_50.png,0,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)

The sphere in the center of the image appears to be lit from a different direction than the larger circular background, which itself appears to be a large sphere or curved surface with its own lighting direction. The smaller sphere's center appears to be located in Cell (1,1) of the 2x2 grid."
image_51.png,16,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

The sphere that appears to be lit from the opposite direction (with highlights and shadows reversed compared to all other spheres) is located in the bottom left quadrant of the grid."
image_52.png,13,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)"
image_53.png,13,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the image, most spheres appear to be lit from the upper right direction, creating highlights in their upper right portions. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side (lower left), indicating it is lit from a different direction than all other spheres."
image_54.png,12,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

Looking at the pattern of light and shadow on the spheres, most appear to be lit from the upper right direction, creating shadows on their lower left sides. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have the opposite lighting pattern, with the highlight on the left and shadow on the right."
image_55.png,4,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)

The sphere in the upper right quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their left sides, this particular sphere shows highlighting on its right side."
image_56.png,1,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)

The sphere in the top left cell appears to be lit from a different direction compared to the other sphere visible in the image. While most spheres show highlights on their right side, the sphere in Cell (1,1) shows highlighting on its left side."
image_57.png,8,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating shadows on their lower left sides. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to be lit from the opposite direction, with its highlight on the lower left and shadow on the upper right."
image_58.png,13,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)

The sphere that appears to be lit from the opposite direction (showing a different shading pattern compared to all other spheres) is located in the bottom left cell of the 2x2 grid."
image_59.png,15,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

Looking at all the spheres in the image, most appear to be lit from the upper right direction, creating highlights in that area and shadows in the lower left. However, there is one sphere that shows the opposite lighting pattern (lit from lower left, with shadow in upper right), and this sphere appears to be centered in Cell (2,1), which is the bottom left quadrant of the grid."
image_60.png,5,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from above, creating highlights at the top of each sphere. However, the sphere in the lower left quadrant (Cell 2,1) appears to have its highlight on the bottom, indicating it is lit from the opposite direction compared to all other spheres."
image_61.png,0,30,0,"(1, 2)","(2, 2)",False,"Cell (1,2)

The sphere that appears to be lit from the opposite direction is located in the top right quadrant of the image. While most spheres show lighting from one direction, this particular sphere shows a highlight pattern that indicates illumination from the opposite direction."
image_62.png,16,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_63.png,9,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating highlights in the upper right portion of each sphere. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side (lower left), indicating it is lit from a different direction than all the other spheres."
image_64.png,13,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating shadows on their lower left sides. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to be lit from the opposite direction, with its shadow appearing on the upper right side instead."
image_65.png,4,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)

The sphere in the bottom left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right side, this particular sphere shows highlighting on its left side."
image_66.png,14,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

Looking at the image, most spheres appear to be lit from the upper right direction, creating highlights in their upper right portions. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to have its highlight on the opposite side (lower left), indicating it is lit from a different direction than all other spheres."
image_67.png,9,30,0,"(2, 2)","(2, 1)",False,"Cell (2,2)

The sphere in the center-right portion of the image appears to be lit from the opposite direction compared to all other spheres. While the majority of spheres show highlights on their left sides, this particular sphere shows highlighting on its right side."
image_68.png,8,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)

Looking at the spheres in the image, most appear to be lit from the upper right direction, creating shadows on their lower left sides. However, there is one sphere in the lower left quadrant (Cell 2,1) that appears to be lit from the opposite direction, with its highlight on the lower left and shadow on the upper right."
image_69.png,11,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_70.png,7,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)

The sphere in the lower left quadrant appears to be lit from the opposite direction compared to all other spheres in the image. While most spheres show highlights on their right sides, this particular sphere shows highlighting on its left side."
image_71.png,9,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)"
image_72.png,14,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)

The sphere that appears to be lit from the opposite direction is located in the bottom right quadrant of the circular arrangement. While most spheres show highlights on their left sides, this particular sphere shows a highlight on its right side, making it stand out from the others."
image_73.png,3,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)"
image_74.png,4,30,0,"(1, 2)","(2, 2)",False,"Cell (1,2)"
